Analyse enrichment

MAL ID: 50 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 394 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 101 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 857 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 281 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 477 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 66 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 3407 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 150 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 8 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 159 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 2904 | AniList ID: (hidden) | Enrichment: Success | Relations: 8
MAL ID: 1482 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1535 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 2164 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 813 | AniList ID: (hidden) | Enrichment: Success | Relations: 34
MAL ID: 2795 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 455 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 395 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 127 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 129 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 487 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 246 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 411 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 3002 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1570 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2026 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 777 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 379 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2002 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 934 | AniList ID: (hidden) | Enrichment: Success | Relations: 6
MAL ID: 940 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 863 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1530 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 145 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1604 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 572 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
